0:center(709,203) speed before:(99,99) speed after:(99,99) vs 1:center(431,359) speed before:(99,99) speed after:(99,99)
0:center(1508,456) speed before:(-99,-99) speed after:(99,-99) vs 1:center(1322,187) speed before:(99,-99) speed after:(-99,-99)
0:center(-20,456) speed before:(-99,-99) speed after:(99,99) vs 1:center(198,198) speed before:(99,99) speed after:(-99,-99)
0:center(461,648) speed before:(99,-99) speed after:(99,99) vs 1:center(396,396) speed before:(99,99) speed after:(99,-99)
0:center(860,388) speed before:(99,-99) speed after:(99,99) vs 1:center(792,198) speed before:(99,99) speed after:(99,-99)
0:center(1540,299) speed before:(99,-99) speed after:(99,99) vs 1:center(1287,495) speed before:(99,99) speed after:(99,-99)
0:center(1628,589) speed before:(-99,99) speed after:(99,-99) vs 1:center(1386,396) speed before:(99,-99) speed after:(-99,99)
0:center(1566,361) speed before:(-99,-99) speed after:(-99,99) vs 1:center(1287,495) speed before:(-99,99) speed after:(-99,-99)
0:center(440,587) speed before:(-99,99) speed after:(99,-99) vs 1:center(198,385) speed before:(99,-99) speed after:(-99,99)
0:center(1048,293) speed before:(-99,-99) speed after:(99,99) vs 1:center(1287,495) speed before:(99,99) speed after:(-99,-99)
0:center(954,199) speed before:(99,99) speed after:(-99,-99) vs 1:center(1188,396) speed before:(-99,-99) speed after:(99,99)
0:center(329,219) speed before:(99,-99) speed after:(-99,99) vs 1:center(546,396) speed before:(-99,99) speed after:(99,-99)
0:center(1280,488) speed before:(99,99) speed after:(-99,-99) vs 1:center(1041,286) speed before:(-99,-99) speed after:(99,99)
0:center(1374,582) speed before:(-99,-99) speed after:(99,99) vs 1:center(1140,385) speed before:(99,99) speed after:(-99,-99)
0:center(415,562) speed before:(-99,99) speed after:(99,-99) vs 1:center(198,385) speed before:(99,-99) speed after:(-99,99)
0:center(1048,293) speed before:(-99,-99) speed after:(99,99) vs 1:center(1287,495) speed before:(99,99) speed after:(-99,-99)
0:center(954,199) speed before:(99,99) speed after:(-99,-99) vs 1:center(1188,396) speed before:(-99,-99) speed after:(99,99)
0:center(329,219) speed before:(99,-99) speed after:(-99,99) vs 1:center(546,396) speed before:(-99,99) speed after:(99,-99)
0:center(1280,488) speed before:(99,99) speed after:(-99,-99) vs 1:center(1041,286) speed before:(-99,-99) speed after:(99,99)
0:center(1374,582) speed before:(-99,-99) speed after:(99,99) vs 1:center(1140,385) speed before:(99,99) speed after:(-99,-99)
0:center(415,562) speed before:(-99,99) speed after:(99,-99) vs 1:center(198,385) speed before:(99,-99) speed after:(-99,99)
0:center(1048,293) speed before:(-99,-99) speed after:(99,99) vs 1:center(1287,495) speed before:(99,99) speed after:(-99,-99)
0:center(954,199) speed before:(99,99) speed after:(-99,-99) vs 1:center(1188,396) speed before:(-99,-99) speed after:(99,99)
0:center(329,219) speed before:(99,-99) speed after:(-99,99) vs 1:center(546,396) speed before:(-99,99) speed after:(99,-99)
